-11,146,1
228,-26,1
0,7,1
-241,-5,0
17,0,1
17,21,1
0,1,1
-160,-1,0
166,190,1
55,198,0
-17,3,1
24,13,0
24,8,0
153,174,0
-235,-10,1
79,144,0
112,164,0
14,2,0
225,95,0
-29,21,0
-6,11,0
-202,141,1
-233,-31,1
-227,116,1
-212,164,1
-132,-1,0
-160,203,1
-65,51,1
6,146,0
-93,122,0
-59,15,1
15,7,1
82,149,0
-24,16,1
194,139,0
-30,174,1
-24,0,0
233,-11,0
-16,13,1
46,13,1
163,175,1
-215,331,0
-7,2,1
-232,7,0
140,131,0
25,-1,1
45,47,0
1,11,0
-158,115,0
102,242,1
17,183,0
53,257,1
-1,3,1
-6,0,1
-133,229,1
-19,3,1
-115,28,0
12,-1,1
-1,21,1
-60,28,0
-7,2,1
151,13,0
-24,11,0
-96,41,0
-102,144,0
220,124,1
-192,-1,1
9,154,0
12,3,0
-151,203,1
27,2,1
9,-1,1
-61,165,0
-17,3,0
-127,136,1
10,0,1
-205,159,1
-102,154,1
-47,56,0
2,0,1
53,237,1
73,234,1
-112,139,0
-129,-21,0
109,169,1
-147,85,0
-78,36,0
202,139,0
145,139,0
94,160,0
184,178,0
122,244,0
38,257,0
195,154,0
-104,36,0
9,-5,1
232,-15,0
-201,174,0
28,0,0
-27,-1,1
-22,0,1
-53,16,0
20,26,1
-241,-10,1
-225,-24,1
79,28,0
138,72,0
55,2,0
-16,7,1
14,61,0
232,16,1
69,237,0
-14,-1,1
-16,0,1
187,-1,1
-27,149,1
-1,8,1
-16,0,1
123,214,0
-7,8,0
132,26,1
169,8,0
40,180,0
-52,97,0
-78,169,1
-65,21,1
-11,65,1
187,151,0
-6,46,0
-106,213,0
-142,110,1
-25,188,1
0,92,1
-184,62,0
28,51,0
-156,87,0
-84,-5,1
-2,57,0
17,2,0
-2,16,0
20,183,0
195,149,1
-187,159,1
0,1,1
22,252,0
-233,46,0
0,11,1
-186,170,0
10,23,1
-210,31,1
174,-19,0
-94,0,1
194,174,0
-7,31,0
-158,154,1
-68,23,0
38,0,0
-40,180,0
-115,67,1
-176,198,0
-14,65,1
46,36,1
-165,193,0
61,16,0
0,218,1
-217,134,1
-215,105,1
-2,-6,1
-86,75,0
-151,-15,0
6,46,0
-22,0,1
-158,195,0
-48,237,1
-197,-11,1
233,-21,0
-86,149,0
-156,18,0
166,174,0
-7,70,1
192,151,0
-215,141,0
6,-10,1
-220,101,1
-129,-11,1
9,-5,1
68,154,0
133,-11,0
223,120,0
-204,149,0
0,1,0
-71,141,1
127,223,0
163,-6,0
-137,144,0
-199,95,0
6,2,1
71,257,0
0,3,1
-22,203,1
28,149,1
4,214,1
-96,247,1
22,198,1
-173,2,1
163,195,0
182,165,0
97,203,0
22,178,1
-40,164,0
68,237,0
-25,3,1
-25,11,0
232,2,0
91,183,0
-14,203,1
20,-1,0
-12,11,1
-176,16,0
0,1,1
-104,26,0
-1,13,1
228,-16,1
-233,105,0
-22,-6,1
-117,183,1
168,183,1
12,16,1
202,146,0
-235,-11,1
241,-6,0
135,208,1
101,160,0
15,11,0
-27,247,0
-125,213,1
-86,228,1
-143,198,0
220,105,0
9,169,1
-89,175,1
-119,65,0
43,0,1
-12,178,1
30,10,0
96,174,0
15,2,1
69,237,0
-16,247,1
-34,203,1
-244,34,0
227,21,1
55,237,0
63,11,0
238,-36,0
1,2,0
-97,239,0
-4,13,1
-35,144,1
-238,-24,0
232,-15,1
56,252,0
-12,262,1
-30,21,0
-147,126,0
-115,174,0
-22,7,0
56,65,0
-232,105,0
99,244,0
-115,228,1
-52,185,1
1,26,0
-197,111,0
19,8,1
125,223,0
25,174,1
-168,-31,0
-7,0,0
20,-6,1
9,3,1
51,26,0
159,47,0
-53,75,0
-30,-1,0
-249,-11,0
179,178,1
12,2,0
-212,188,0
-9,-5,1
-215,148,1
164,237,0
-12,11,1
-132,159,1
-102,41,0
-29,252,0
-99,46,0
-156,193,0
202,144,1
14,7,1
159,-6,0
-223,-21,1
-73,169,1
55,16,1
-107,149,0
227,100,1
-160,208,0
6,13,1
-210,134,0
164,11,0
20,2,0
10,46,1
-53,237,0
112,228,0
28,65,1
194,224,0
28,65,1
150,178,0
-42,100,0
0,1,1
-169,210,1
204,144,1
14,7,1
9,21,0
-94,36,0
19,16,0
12,257,0
-19,247,1
71,234,0
-11,2,1
14,0,0
-207,-5,0
-94,232,0
204,134,1
-163,200,1
217,101,1
92,224,0
102,219,0
-145,131,1
-48,237,1
-68,237,1
-68,232,0
194,144,0
-14,2,1
-114,228,0
155,208,0
-135,139,0
-240,90,1
-14,2,0
9,213,1
-151,199,0
-29,0,0
9,70,0
-241,0,1
225,-34,0
91,120,0
182,70,0
89,228,0
-1,65,0
30,169,0
-16,0,1
-179,110,0
-17,21,1
-11,267,0
1,18,0
151,190,0
-1,2,1
-129,7,1
236,-21,0
-97,239,1
-155,188,1
191,43,0
-163,124,0
-6,259,0
181,164,0
30,11,0
138,-6,0
-105,141,0
-240,-15,0
-70,33,1
148,56,1
-89,174,1
-184,198,0
213,136,0
192,7,0
-92,11,1
182,190,0
-52,97,0
27,0,1
-91,100,0
89,234,1
-133,208,0
-48,239,0
-24,242,1
-240,75,0
4,-1,1
-127,-6,0
-237,-1,0
-17,2,0
-196,156,1
-232,-21,0
-86,156,0
-199,105,0
228,-16,0
-102,180,0
-150,2,1
96,146,0
2,21,1
197,-16,0
-19,8,0
210,146,1
123,183,0
-30,8,0
225,31,0
133,210,1
-122,242,0
-60,97,1
-14,198,0
81,131,0
-25,18,0
-11,21,0
-16,16,0
2,-1,1
-243,-15,1
151,80,0
235,95,0
117,120,0
-79,188,0
12,7,0
186,580,0
-1,0,0
-56,51,1
-20,38,0
37,200,1
84,252,0
14,62,0
-11,-1,1
-63,277,1
51,242,1
-6,247,0
-14,3,1
22,242,0
-19,11,0
236,-1,0
73,-1,1
128,116,0
115,219,0
-74,237,0
-150,200,0
102,229,0
94,65,0
-219,139,1
-104,237,0
-2,16,0
0,7,0
78,154,0
-140,16,1
-138,41,0
232,28,0
133,134,0
-11,16,0
-12,95,1
-14,11,1
46,51,0
-156,41,0
-201,134,0
-181,105,0
104,242,1
-47,11,0
243,28,1
15,18,0
-232,41,0
0,1,1
86,139,1
87,149,0
-48,105,0
243,-6,0
64,120,1
-96,139,1
14,7,1
-73,46,1
55,67,0
-184,170,1
110,80,1
92,144,1
-106,219,0
79,180,0
-83,136,0
-9,11,0
-14,146,1
-34,160,0
1,7,1
