99,249,0
-122,145,1
-60,129,0
-172,82,0
-68,148,0
39,15,0
-64,149,1
118,123,1
121,162,1
-125,134,1
-7,1,1
-5,15,1
152,195,0
-81,205,1
125,162,1
-76,250,1
-158,-6,0
0,0,0
0,0,0
95,48,1
1,247,1
127,216,1
-5,7,0
154,108,1
56,14,0
0,258,0
-4,15,1
179,44,0
-120,146,0
-86,134,0
-7,23,1
190,214,0
-59,242,1
138,50,0
-18,252,0
130,1,0
138,113,1
-49,50,0
-123,145,1
-65,164,1
-157,19,0
34,265,0
160,25,1
-7,12,0
7,30,0
187,225,1
129,131,0
-166,1,0
7,-2,1
84,175,0
-23,225,1
-174,194,0
0,3,0
-212,-14,1
-248,-13,0
-67,123,1
0,0,1
129,19,0
0,0,0
225,-2,1
0,0,1
-15,137,1
-142,257,1
0,0,0
-111,137,1
154,200,0
9,1,1
-11,1,1
228,83,0
-7,11,1
239,7,1
-166,312,0
-242,78,1
-37,247,0
9,190,0
-2,9,0
-234,99,1
-5,7,1
12,176,1
-138,208,0
132,213,0
113,205,0
75,48,1
15,250,0
168,209,0
-155,220,1
133,89,0
83,162,0
-134,235,1
59,183,0
31,189,1
-106,124,0
-4,74,0
72,238,0
-73,89,1
0,0,1
-142,89,0
196,162,1
24,192,0
-226,36,0
-138,110,0
0,0,0
-40,186,1
-182,159,1
75,56,1
176,178,1
158,213,0
-158,-14,0
-103,132,0
40,11,0
-221,25,0
2,162,0
-64,33,0
6,14,1
-133,88,0
-37,183,1
13,164,0
-205,0,1
-18,17,0
-111,112,1
225,129,0
-136,113,1
144,20,0
103,239,0
-68,261,1
0,61,1
-226,56,0
-37,156,1
39,178,0
-114,22,0
233,-5,0
157,214,0
29,184,0
37,34,0
-37,36,0
95,143,1
6,63,0
34,187,0
92,242,0
132,159,1
61,263,1
-205,139,0
-32,178,0
88,187,1
128,216,0
-40,248,1
0,0,1
-154,185,1
-166,122,0
85,73,0
-73,248,0
0,0,0
0,0,0
154,193,0
133,175,0
-97,129,0
-231,1,1
-49,86,0
-210,123,0
20,72,1
-13,261,0
-34,30,1
140,94,1
72,187,1
147,131,1
20,220,1
20,15,1
-169,9,0
-45,170,0
-123,1,1
231,-16,0
31,209,0
-8,17,1
181,205,0
-133,102,0
86,153,1
190,153,0
29,173,1
0,0,0
0,0,1
0,0,1
119,214,1
78,220,0
88,195,1
-122,96,0
0,0,1
132,201,1
130,208,0
0,0,1
0,0,1
103,132,1
64,236,0
125,99,0
-43,246,0
0,0,1
168,187,0
0,0,1
147,187,1
176,129,0
0,0,0
0,0,1
0,0,0
132,213,0
0,0,0
-166,151,1
-67,249,0
110,0,1
105,222,0
-4,233,0
64,205,0
0,0,1
0,0,0
-188,181,0
-232,47,1
155,17,0
0,0,1
32,257,1
-112,167,0
0,0,0
-239,33,1
0,0,1
-146,156,0
-163,206,0
0,0,1
-125,126,1
12,190,0
-27,246,0
-64,48,0
0,0,0
-179,181,0
182,4,0
-226,-22,1
0,0,1
0,0,1
-37,186,1
152,39,0
-108,132,1
-224,50,0
47,36,0
54,198,1
149,241,0
-114,-2,0
-24,0,0
18,78,0
58,86,1
-117,192,1
106,179,1
239,0,1
65,15,1
-204,145,1
-152,219,0
-11,15,0
26,93,0
65,164,0
-52,254,1
-166,143,0
181,121,1
7,279,1
-229,0,0
9,269,1
231,42,0
81,255,0
0,0,1
-196,58,1
-164,211,0
0,0,1
94,123,1
-23,269,0
116,160,0
-122,137,0
